iter	Logloss
0	0.6870968562
1	0.6797799868
2	0.6730007518
3	0.6660420975
4	0.6593147664
5	0.6529918915
6	0.6467064296
7	0.6406550019
8	0.6346194232
9	0.6287333157
10	0.6232423935
11	0.6182883024
12	0.6128939933
13	0.6081182595
14	0.6033276872
15	0.5982656413
16	0.5933252047
17	0.5886373685
18	0.5840495931
19	0.5798121588
20	0.5754790194
21	0.5712757477
22	0.5672678977
23	0.5633663799
24	0.5597082048
25	0.5563755607
26	0.5527736443
27	0.5491671687
28	0.5458239732
29	0.5424909471
30	0.5395346681
31	0.5371748317
32	0.5342619167
33	0.5315646898
34	0.5289320743
35	0.5260477475
36	0.5236777191
37	0.5212884348
38	0.5189058228
39	0.5165509718
40	0.5140399358
41	0.5116404607
42	0.5094825834
43	0.5074708503
44	0.505393905
45	0.5031458861
46	0.5008697929
47	0.4991675009
48	0.4970521163
49	0.495314862
50	0.4932141675
51	0.4912999754
52	0.4895120136
53	0.4877955978
54	0.4863813473
55	0.4848831195
56	0.4831092443
57	0.4814347044
58	0.4799537008
59	0.4788370106
60	0.477208109
61	0.4755720606
62	0.4743814321
63	0.473051078
64	0.4717077691
65	0.470186416
66	0.4688024205
67	0.4674855573
68	0.4664194477
69	0.4652885236
70	0.4641275717
71	0.4630892498
72	0.4618908019
73	0.4607292598
74	0.4595936138
75	0.458813708
76	0.4576544616
77	0.4565288002
78	0.4555465622
79	0.4547332527
80	0.4538552686
81	0.4530340264
82	0.4520232641
83	0.4510827118
84	0.4501651059
85	0.4492815294
86	0.4484020544
87	0.447632281
88	0.4467131998
89	0.445828842
90	0.4451493077
91	0.4443321115
92	0.4436943798
93	0.4429114709
94	0.4421708686
95	0.4415027201
96	0.4408506407
97	0.4402321378
98	0.439679035
99	0.4390366114
100	0.4382981036
101	0.4376575311
102	0.4370062829
103	0.4364200264
104	0.4358686794
105	0.435162612
106	0.4345923877
107	0.4339758753
108	0.4334249125
109	0.4328791307
110	0.4323274177
111	0.431792716
112	0.431246919
113	0.4306966695
114	0.4301571562
115	0.4298431703
116	0.4293950763
117	0.4289134957
118	0.4283974529
119	0.4280789817
120	0.4275871452
121	0.4271837703
122	0.4269312377
123	0.4266057178
124	0.4262209622
125	0.4256825776
126	0.425235797
127	0.4249133457
128	0.4246039523
129	0.4242389211
130	0.4238189929
131	0.423421655
132	0.4231127329
133	0.4226895075
134	0.4222840262
135	0.4218561914
136	0.4215896719
137	0.4212741999
138	0.4208755254
139	0.4204860502
140	0.4201814508
141	0.4197804665
142	0.419503364
143	0.4191681528
144	0.4188389362
145	0.4183240204
146	0.4180459111
147	0.4178451749
148	0.4174826589
149	0.4172110218
150	0.4169520045
151	0.4167174087
152	0.4164980345
153	0.4163348872
154	0.4160127103
155	0.415799827
156	0.4154696377
157	0.4151878479
158	0.4148660439
159	0.414622733
160	0.4144023876
161	0.4140812793
162	0.4138479148
163	0.4135495674
164	0.4132975582
165	0.4130204173
166	0.4128365694
167	0.4125657763
168	0.4122899271
169	0.4120215184
170	0.4118195158
171	0.411579586
172	0.4113645767
173	0.4111116553
174	0.410949291
175	0.4107185599
176	0.4104815885
177	0.4102551409
178	0.4099897617
179	0.409752251
180	0.4094763293
181	0.4091841047
182	0.4089951454
183	0.4087423644
184	0.4085647733
185	0.4083673077
186	0.4081995419
187	0.4079509009
188	0.4077941508
189	0.407604727
190	0.4074184914
191	0.4071978256
192	0.4070082509
193	0.4068159165
194	0.4066395708
195	0.4065361122
196	0.4063629714
197	0.4061941926
198	0.4060030088
199	0.4058250367
200	0.4056572851
201	0.4055096915
202	0.4053411882
203	0.4051191795
204	0.4049868455
205	0.4048696476
206	0.4047308922
207	0.4044907416
208	0.4043019743
209	0.4041565773
210	0.4040172993
211	0.4038821767
212	0.4037833235
213	0.4036306385
214	0.4035128335
215	0.4034225481
216	0.4032835298
217	0.4031921443
218	0.4030659437
219	0.402871209
220	0.4028067879
221	0.4026407146
222	0.4024391725
223	0.4022393438
224	0.4020490775
225	0.4018568593
226	0.401686143
227	0.4014791928
228	0.4013783065
229	0.4012001301
230	0.4011059608
231	0.4010113848
232	0.4008886341
233	0.4007701319
234	0.4006812368
235	0.4005317142
236	0.4003912327
237	0.4003138905
238	0.4001693494
239	0.3999924213
240	0.3998826983
241	0.3997548778
242	0.3995607951
243	0.3994443497
244	0.3993234281
245	0.3991504687
246	0.3990296145
247	0.3988035132
248	0.3986948795
249	0.3985911896
250	0.3984670272
251	0.3982984754
252	0.3981939524
253	0.398058202
254	0.3979663538
255	0.3977818643
256	0.3976901175
257	0.3975371787
258	0.3974010136
259	0.3973046184
260	0.397203736
261	0.397110535
262	0.3970139253
263	0.396883612
264	0.3967973489
265	0.3967127394
266	0.3965916063
267	0.3964877814
268	0.3964203352
269	0.396352347
270	0.3962508431
271	0.3961830517
272	0.3960799039
273	0.3959687314
274	0.39591197
275	0.3957834074
276	0.3957139796
277	0.39564143
278	0.3955287963
279	0.3953911224
280	0.3952894859
281	0.3952031533
282	0.3950984184
283	0.3949906071
284	0.3948434408
285	0.3947892776
286	0.3946695889
287	0.3945253635
288	0.394434704
289	0.394345261
290	0.3942370022
291	0.3941405895
292	0.3940489724
293	0.3939775584
294	0.3938662719
295	0.393727383
296	0.393655364
297	0.3935272658
298	0.3934712137
299	0.3933421018
300	0.3932451264
301	0.3931854653
302	0.3931355607
303	0.3930437289
304	0.3929221592
305	0.3928567106
306	0.3926866773
307	0.3926091999
308	0.39251915
309	0.392421446
310	0.3923520521
311	0.3923040587
312	0.3922650608
313	0.3922515783
314	0.3922105597
315	0.3921321196
316	0.3921110316
317	0.3920901404
318	0.3919660991
319	0.391930141
320	0.391920075
321	0.3917805078
322	0.3917272371
323	0.3916901185
